product_code,line_class,build_cycle_sec,source
1225114012008QUXP0,PCR,49.92,GTCT TBR PCR 1.xlsx
1D25114012008QXPC0,PCR,49.92,GTCT TBR PCR 1.xlsx
1D25214012008QXPC0,PCR,49.92,GTCT TBR PCR 1.xlsx
1D25214012008QXPCM,PCR,49.92,GTCT TBR PCR 1.xlsx
1D25214012008QXPCT,PCR,49.92,GTCT TBR PCR 1.xlsx
1325214612069TUNX0,PCR,47.84,GTCT TBR PCR 1.xlsx
1325114612069TUNX0,PCR,47.84,GTCT TBR PCR 1.xlsx
1325214812074TUNX0,PCR,47.84,GTCT TBR PCR 1.xlsx
1325114812074TUNX0,PCR,47.84,GTCT TBR PCR 1.xlsx
1325214812074TUNE1,PCR,47.84,GTCT TBR PCR 1.xlsx
1325214812074TULT0,PCR,47.84,GTCT TBR PCR 1.xlsx
1225215Z12008RXC10,PCR,49.92,GTCT TBR PCR 1.xlsx
1325216612077TUSP0,PCR,47.84,GTCT TBR PCR 1.xlsx
1325216612077HUSP0,PCR,47.84,GTCT TBR PCR 1.xlsx
1325217612080HUNE0,PCR,47.84,GTCT TBR PCR 1.xlsx
1325114613071TUNX0,PCR,47.84,GTCT TBR PCR 1.xlsx
1325214613071TUNX0,PCR,47.84,GTCT TBR PCR 1.xlsx
1325214813075SUNX0,PCR,47.84,GTCT TBR PCR 1.xlsx
1325214813075TTMX0,PCR,47.84,GTCT TBR PCR 1.xlsx
1325214813075STMX0,PCR,47.84,GTCT TBR PCR 1.xlsx
1325214813075SETR0,PCR,47.84,GTCT TBR PCR 1.xlsx
1325214813075SUHL0,PCR,47.84,GTCT TBR PCR 1.xlsx
1225215013008SXC10,PCR,49.92,GTCT TBR PCR 1.xlsx
1325215513073TUNE0,PCR,47.84,GTCT TBR PCR 1.xlsx
1325115513073TTOR0,PCR,47.84,GTCT TBR PCR 1.xlsx
1325215513073TTOR0,PCR,47.84,GTCT TBR PCR 1.xlsx
1325215613075TUNX0,PCR,47.84,GTCT TBR PCR 1.xlsx
1325215613075TUNE1,PCR,47.84,GTCT TBR PCR 1.xlsx
1325115613075TUNX0,PCR,47.84,GTCT TBR PCR 1.xlsx
1325215613075TUHL0,PCR,47.84,GTCT TBR PCR 1.xlsx
1325215813079TUNE0,PCR,47.84,GTCT TBR PCR 1.xlsx
1325215813074TVEC0,PCR,39.52,GTCT TBR PCR 1.xlsx
1325215813079TUNE2,PCR,47.84,GTCT TBR PCR 1.xlsx
1325215813079TUNE3,PCR,47.84,GTCT TBR PCR 1.xlsx
1325215813079SVECO,PCR,39.52,GTCT TBR PCR 1.xlsx
1325215813079TTMX0,PCR,47.84,GTCT TBR PCR 1.xlsx
