date,shift,machineName,sizeCode,startTime,endTime,scheduleQuantity,remarks,runTime,changeOverStartTime,changeOverEndTime,availableMoulds,runningMoulds,roundsPerMould,curingPotential,ctb,gtInventory,coverage,curingScheduleQuantity,description,machineId,createdAt,createdBy
2026-04-01,A,4801,1225219Z15008SXC11,2026-04-01 07:00:00,2026-04-01 15:00:00,35,Continuity (Penetration 103%),480,,,0,2,17,35,0,0,,35,195 R15 ULTIMA XPC1 AL,e7f5dbb5-0b20-11f1-ae56-6ecb38cdd2a0,2026-04-14 11:09:09,Algo8 AI Schedule
2026-04-01,B,4801,1225219Z15008SXC11,2026-04-01 15:00:00,2026-04-01 23:00:00,35,Continuity (Penetration 103%),480,,,0,2,17,35,0,0,,35,195 R15 ULTIMA XPC1 AL,e7f5dbb5-0b20-11f1-ae56-6ecb38cdd2a0,2026-04-14 11:09:09,Algo8 AI Schedule
2026-04-01,C,4801,1225219Z15008SXC11,2026-04-01 23:00:00,2026-04-02 07:00:00,35,Continuity (Penetration 103%),480,,,0,2,17,35,0,0,,35,195 R15 ULTIMA XPC1 AL,e7f5dbb5-0b20-11f1-ae56-6ecb38cdd2a0,2026-04-14 11:09:09,Algo8 AI Schedule
2026-04-02,A,4801,1225219Z15008SXC11,2026-04-02 07:00:00,2026-04-02 15:00:00,35,Continuity (Penetration 103%),480,,,0,2,17,35,0,0,,35,195 R15 ULTIMA XPC1 AL,e7f5dbb5-0b20-11f1-ae56-6ecb38cdd2a0,2026-04-14 11:09:09,Algo8 AI Schedule
2026-04-02,B,4801,1225219Z15008SXC11,2026-04-02 15:00:00,2026-04-02 17:39:00,14,Continuity (Penetration 103%),159,,,0,2,21,14,0,0,,14,195 R15 ULTIMA XPC1 AL,e7f5dbb5-0b20-11f1-ae56-6ecb38cdd2a0,2026-04-14 11:09:09,Algo8 AI Schedule
2026-04-02,B,4801,MOULD_CLEANING,2026-04-02 17:39:00,2026-04-02 19:39:00,0,Maintenance,120,2026-04-02 17:39:00,2026-04-02 19:39:00,0,2,2,0,0,0,,0,,e7f5dbb5-0b20-11f1-ae56-6ecb38cdd2a0,2026-04-14 11:09:09,Algo8 AI Schedule
2026-04-02,B,4801,1225219Z15008SXC11,2026-04-02 19:39:00,2026-04-02 23:00:00,14,Post-Cleaning Resume,201,,,0,2,16,14,0,0,,14,195 R15 ULTIMA XPC1 AL,e7f5dbb5-0b20-11f1-ae56-6ecb38cdd2a0,2026-04-14 11:09:09,Algo8 AI Schedule
2026-04-02,C,4801,1225219Z15008SXC11,2026-04-02 23:00:00,2026-04-03 07:00:00,35,Post-Cleaning Resume,480,,,0,2,17,35,0,0,,35,195 R15 ULTIMA XPC1 AL,e7f5dbb5-0b20-11f1-ae56-6ecb38cdd2a0,2026-04-14 11:09:09,Algo8 AI Schedule
2026-04-03,A,4801,1225219Z15008SXC11,2026-04-03 07:00:00,2026-04-03 15:00:00,35,Post-Cleaning Resume,480,,,0,2,17,35,0,0,,35,195 R15 ULTIMA XPC1 AL,e7f5dbb5-0b20-11f1-ae56-6ecb38cdd2a0,2026-04-14 11:09:09,Algo8 AI Schedule
2026-04-03,B,4801,1225219Z15008SXC11,2026-04-03 15:00:00,2026-04-03 23:00:00,35,Post-Cleaning Resume,480,,,0,2,17,35,0,0,,35,195 R15 ULTIMA XPC1 AL,e7f5dbb5-0b20-11f1-ae56-6ecb38cdd2a0,2026-04-14 11:09:09,Algo8 AI Schedule
2026-04-03,C,4801,1225219Z15008SXC11,2026-04-03 23:00:00,2026-04-04 07:00:00,35,Post-Cleaning Resume,480,,,0,2,17,35,0,0,,35,195 R15 ULTIMA XPC1 AL,e7f5dbb5-0b20-11f1-ae56-6ecb38cdd2a0,2026-04-14 11:09:09,Algo8 AI Schedule
2026-04-04,A,4801,1225219Z15008SXC11,2026-04-04 07:00:00,2026-04-04 15:00:00,35,Post-Cleaning Resume,480,,,0,2,17,35,0,0,,35,195 R15 ULTIMA XPC1 AL,e7f5dbb5-0b20-11f1-ae56-6ecb38cdd2a0,2026-04-14 11:09:09,Algo8 AI Schedule
2026-04-04,B,4801,1225219Z15008SXC11,2026-04-04 15:00:00,2026-04-04 23:00:00,35,Post-Cleaning Resume,480,,,0,2,17,35,0,0,,35,195 R15 ULTIMA XPC1 AL,e7f5dbb5-0b20-11f1-ae56-6ecb38cdd2a0,2026-04-14 11:09:09,Algo8 AI Schedule
2026-04-04,C,4801,1225219Z15008SXC11,2026-04-04 23:00:00,2026-04-05 07:00:00,35,Post-Cleaning Resume,480,,,0,2,17,35,0,0,,35,195 R15 ULTIMA XPC1 AL,e7f5dbb5-0b20-11f1-ae56-6ecb38cdd2a0,2026-04-14 11:09:09,Algo8 AI Schedule
