Super_parent,Equipment,grand_parent,Parent,Parent_qty,Parent_unit,child,child_quantity,child_Unit,child_description
1225119Z15008SXC10,TBM  PCR  STAGE1,GT 1905 XPC1,CAR 1905 XPC1,1.0,NOS,IL078,1160.0,MM,Inner Liner
1225119Z15008SXC10,TBM  PCR  STAGE1,GT 1905 XPC1,CAR 1905 XPC1,1.0,NOS,PBP76,1168.0,MM,Ply
1225119Z15008SXC10,TBM  PCR  STAGE1,GT 1905 XPC1,CAR 1905 XPC1,1.0,NOS,PBP80,1378.0,MM,Ply
1225119Z15008SXC10,TBM  PCR  STAGE1,GT 1905 XPC1,CAR 1905 XPC1,1.0,NOS,BRTTL SLT,680.0,MM,SLITTED MATERIAL
1225119Z15008SXC10,TBM  PCR  STAGE1,GT 1905 XPC1,CAR 1905 XPC1,1.0,NOS,SWRS107,1380.0,MM,SideWall
1225119Z15008SXC10,TBM  PCR  STAGE1,GT 1905 XPC1,CAR 1905 XPC1,1.0,NOS,BA15004,2.0,NOS,Bead Apex
1225119Z15008SXC10,Calendering,CAR 1905 XPC1,IL078,1160.0,MM,IL5,0.92336,KG,FINAL COMPOUND
1225119Z15008SXC10,Calendering,CAR 1905 XPC1,IL078,1160.0,MM,B458,0.3596,KG,FINAL COMPOUND
1225119Z15008SXC10,Calendering,CAR 1905 XPC1,IL078,1160.0,MM,MONOCHAF80,1160.0,MM,SLITTED MATERIAL
1225119Z15008SXC10,Final Mixing,IL078,IL5,0.92336,KG,ML605,0.900458,KG,MASTER COMPOUND
1225119Z15008SXC10,Final Mixing,IL078,IL5,0.92336,KG,IL5FC,0.022902,KG,SMALL CHEMICAL
1225119Z15008SXC10,Mixing,IL5,ML605,0.900458,KG,000000001010002000,0.047711,KG,Natural rubber
1225119Z15008SXC10,Mixing,IL5,ML605,0.900458,KG,000000001011925200,0.429403,KG,Synethic rubber
1225119Z15008SXC10,Mixing,IL5,ML605,0.900458,KG,1020N66000,0.200388,KG,Carbon black
1225119Z15008SXC10,Mixing,IL5,ML605,0.900458,KG,1053755A00,0.028627,KG,Process oil
1225119Z15008SXC10,Mixing,IL5,ML605,0.900458,KG,000000001053045500,0.023856,KG,Process oil
1225119Z15008SXC10,Mixing,IL5,ML605,0.900458,KG,000000001055083100,0.143134,KG,Zince oxide
1225119Z15008SXC10,Mixing,IL5,ML605,0.900458,KG,ML605MC,0.027339,KG,SMALL CHEMICAL
1225119Z15008SXC10,Mixing,ML605,ML605MC,0.027339,KG,000000001050027200,0.001097,KG,Rubber chemicals
1225119Z15008SXC10,Mixing,ML605,ML605MC,0.027339,KG,1053825A00,0.011928,KG,Rubber chemicals
1225119Z15008SXC10,Mixing,ML605,ML605MC,0.027339,KG,000000001053077500,0.004771,KG,Rubber chemicals
